?cls	?xref
<http://purl.obolibrary.org/obo/MONDO_0002314>	"ICD10CM:H10.4"
<http://purl.obolibrary.org/obo/MONDO_0002314>	"SCTID:73762008"
<http://purl.obolibrary.org/obo/MONDO_0002314>	"ICD9:372.1"
<http://purl.obolibrary.org/obo/MONDO_0002314>	"NCIT:C35197"
<http://purl.obolibrary.org/obo/MONDO_0002314>	"ICD9:372.10"
<http://purl.obolibrary.org/obo/MONDO_0005098>	"NIFSTD:birnlex_12783"
<http://purl.obolibrary.org/obo/MONDO_0005098>	"MESH:D020521"
<http://purl.obolibrary.org/obo/MONDO_0005098>	"SCTID:230690007"
<http://purl.obolibrary.org/obo/MONDO_0005098>	"NCIT:C3390"
<http://purl.obolibrary.org/obo/MONDO_0005098>	"EFO:0000712"
<http://purl.obolibrary.org/obo/MONDO_0005098>	"HP:0001297"
<http://purl.obolibrary.org/obo/MONDO_0002082>	"SCTID:387922007"
<http://purl.obolibrary.org/obo/MONDO_0002082>	"NCIT:C3010"
<http://purl.obolibrary.org/obo/MONDO_0002082>	"ICD9:239.7"
<http://purl.obolibrary.org/obo/MONDO_0002082>	"EFO:0003769"
<http://purl.obolibrary.org/obo/MONDO_0004192>	"SCTID:363459007"
<http://purl.obolibrary.org/obo/MONDO_0004192>	"NCIT:C7507"
<http://purl.obolibrary.org/obo/MONDO_0004192>	"ONCOTREE:UCA"
<http://purl.obolibrary.org/obo/MONDO_0004192>	"ICD9:189.3"
<http://purl.obolibrary.org/obo/MONDO_0004192>	"ICD10CM:C68.0"
<http://purl.obolibrary.org/obo/MONDO_0004192>	"DOID:734"
<http://purl.obolibrary.org/obo/MONDO_0015327>	"GARD:19900"
<http://purl.obolibrary.org/obo/MONDO_0015327>	"Orphanet:139009"
<http://purl.obolibrary.org/obo/MONDO_0021925>	"NCIT:C122784"
<http://purl.obolibrary.org/obo/MONDO_0021925>	"UMLS:C0040586"
<http://purl.obolibrary.org/obo/MONDO_0021925>	"SCTID:13617004"
<http://purl.obolibrary.org/obo/MONDO_0002271>	"NCIT:C4349"
<http://purl.obolibrary.org/obo/MONDO_0002271>	"ONCOTREE:COAD"
<http://purl.obolibrary.org/obo/MONDO_0002271>	"UMLS:C0338106"
<http://purl.obolibrary.org/obo/MONDO_0002271>	"EFO:1001949"
<http://purl.obolibrary.org/obo/MONDO_0002271>	"DOID:234"
<http://purl.obolibrary.org/obo/MONDO_0005607>	"EFO:0006505"
<http://purl.obolibrary.org/obo/MONDO_0005607>	"ICD9:491.9"
<http://purl.obolibrary.org/obo/MONDO_0005607>	"ICD9:491"
<http://purl.obolibrary.org/obo/MONDO_0005607>	"SCTID:63480004"
<http://purl.obolibrary.org/obo/MONDO_0005607>	"UMLS:C0008677"
<http://purl.obolibrary.org/obo/MONDO_0005607>	"NCIT:C26722"
<http://purl.obolibrary.org/obo/MONDO_0005607>	"MESH:D029481"
<http://purl.obolibrary.org/obo/MONDO_0005607>	"ICD9:491.8"
<http://purl.obolibrary.org/obo/MONDO_0021950>	"MESH:C538274"
<http://purl.obolibrary.org/obo/MONDO_0021950>	"UMLS:C0878654"
<http://purl.obolibrary.org/obo/MONDO_0018510>	"NCIT:C5803"
<http://purl.obolibrary.org/obo/MONDO_0018510>	"DOID:4434"
<http://purl.obolibrary.org/obo/MONDO_0018510>	"GARD:21765"
<http://purl.obolibrary.org/obo/MONDO_0018510>	"UMLS:C1336005"
<http://purl.obolibrary.org/obo/MONDO_0018510>	"Orphanet:423975"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:719.88"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:716.98"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:719.90"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:716.80"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:719.9"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:711"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"UMLS:C0022408"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:719.89"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"EFO:1000999"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:719.80"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:716.90"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"MedDRA:10003285"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:719.98"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"SCTID:399269003"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:716.88"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"MESH:D007592"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"NCIT:C35760"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"DOID:381"
<http://purl.obolibrary.org/obo/MONDO_0006816>	"ICD9:716.9"
<http://purl.obolibrary.org/obo/MONDO_0024296>	"NCIT:C7388"
<http://purl.obolibrary.org/obo/MONDO_0012521>	"Orphanet:1930"
<http://purl.obolibrary.org/obo/MONDO_0012521>	"NCIT:C84762"
<http://purl.obolibrary.org/obo/MONDO_0012521>	"GARD:6649"
<http://purl.obolibrary.org/obo/MONDO_0012521>	"ICD10EXP:G05.1*"
<http://purl.obolibrary.org/obo/MONDO_0012521>	"ICD10EXP:B00.4+"
<http://purl.obolibrary.org/obo/MONDO_0012521>	"MESH:D020803"
<http://purl.obolibrary.org/obo/MONDO_0012521>	"NORD:1087"
<http://purl.obolibrary.org/obo/MONDO_0800486>	"NCIT:C97045"
<http://purl.obolibrary.org/obo/MONDO_0030701>	"DOID:0040095"
<http://purl.obolibrary.org/obo/MONDO_0024653>	"NCIT:C3375"
<http://purl.obolibrary.org/obo/MONDO_0024653>	"UMLS:C0037305"
<http://purl.obolibrary.org/obo/MONDO_0024653>	"SCTID:126538005"
